application_number,application_year,application_date,xml_relative_path
10228710,2003,20030102,xml_files\pa030102_10228710_20030102.xml
10216881,2003,20030102,xml_files\pa030102_10216881_20030102.xml
10233195,2003,20030102,xml_files\pa030102_10233195_20030102.xml
9893582,2003,20030102,xml_files\pa030102_09893582_20030102.xml
10164589,2003,20030102,xml_files\pa030102_10164589_20030102.xml
10182415,2003,20030102,xml_files\pa030102_10182415_20030102.xml
10225578,2003,20030102,xml_files\pa030102_10225578_20030102.xml
10165883,2003,20030102,xml_files\pa030102_10165883_20030102.xml
10096686,2003,20030102,xml_files\pa030102_10096686_20030102.xml
9897211,2003,20030102,xml_files\pa030102_09897211_20030102.xml
10184988,2003,20030102,xml_files\pa030102_10184988_20030102.xml
9880627,2003,20030102,xml_files\pa030102_09880627_20030102.xml
10093587,2003,20030102,xml_files\pa030102_10093587_20030102.xml
10169560,2003,20030102,xml_files\pa030102_10169560_20030102.xml
10048526,2003,20030102,xml_files\pa030102_10048526_20030102.xml
9893193,2003,20030102,xml_files\pa030102_09893193_20030102.xml
9897591,2003,20030102,xml_files\pa030102_09897591_20030102.xml
10053392,2003,20030102,xml_files\pa030102_10053392_20030102.xml
9894040,2003,20030102,xml_files\pa030102_09894040_20030102.xml
10170090,2003,20030102,xml_files\pa030102_10170090_20030102.xml
9895032,2003,20030102,xml_files\pa030102_09895032_20030102.xml
10175981,2003,20030102,xml_files\pa030102_10175981_20030102.xml
9913851,2003,20030102,xml_files\pa030102_09913851_20030102.xml
10123820,2003,20030102,xml_files\pa030102_10123820_20030102.xml
10190683,2003,20030102,xml_files\pa030102_10190683_20030102.xml
9896608,2003,20030102,xml_files\pa030102_09896608_20030102.xml
9884703,2003,20030102,xml_files\pa030102_09884703_20030102.xml
9884338,2003,20030102,xml_files\pa030102_09884338_20030102.xml
9884592,2003,20030102,xml_files\pa030102_09884592_20030102.xml
9884765,2003,20030102,xml_files\pa030102_09884765_20030102.xml
9681873,2003,20030102,xml_files\pa030102_09681873_20030102.xml
9998424,2003,20030102,xml_files\pa030102_09998424_20030102.xml
10227450,2003,20030102,xml_files\pa030102_10227450_20030102.xml
9891328,2003,20030102,xml_files\pa030102_09891328_20030102.xml
10168479,2003,20030102,xml_files\pa030102_10168479_20030102.xml
10138931,2003,20030102,xml_files\pa030102_10138931_20030102.xml
10188262,2003,20030102,xml_files\pa030102_10188262_20030102.xml
10203906,2003,20030102,xml_files\pa030102_10203906_20030102.xml
10168169,2003,20030102,xml_files\pa030102_10168169_20030102.xml
10181526,2003,20030102,xml_files\pa030102_10181526_20030102.xml
10203385,2003,20030102,xml_files\pa030102_10203385_20030102.xml
10114053,2003,20030102,xml_files\pa030102_10114053_20030102.xml
9893536,2003,20030102,xml_files\pa030102_09893536_20030102.xml
9893606,2003,20030102,xml_files\pa030102_09893606_20030102.xml
10174947,2003,20030102,xml_files\pa030102_10174947_20030102.xml
10227421,2003,20030102,xml_files\pa030102_10227421_20030102.xml
10160538,2003,20030102,xml_files\pa030102_10160538_20030102.xml
10182623,2003,20030102,xml_files\pa030102_10182623_20030102.xml
10161805,2003,20030102,xml_files\pa030102_10161805_20030102.xml
10072405,2003,20030102,xml_files\pa030102_10072405_20030102.xml
10163388,2003,20030102,xml_files\pa030102_10163388_20030102.xml
10168344,2003,20030102,xml_files\pa030102_10168344_20030102.xml
10146715,2003,20030102,xml_files\pa030102_10146715_20030102.xml
10182715,2003,20030102,xml_files\pa030102_10182715_20030102.xml
9891436,2003,20030102,xml_files\pa030102_09891436_20030102.xml
10166375,2003,20030102,xml_files\pa030102_10166375_20030102.xml
9894192,2003,20030102,xml_files\pa030102_09894192_20030102.xml
